name,mass,radius,X,Y,Z,dX,dY,dZ
Sun,1.99E+30,695700,-9.43E+05,9.40E+05,1.42E+04,-1.23E-02,-9.19E-03,3.77E-04
Mercury,3.30E+23,2.44E+03,-3.71E+07,3.52E+07,6.13E+06,-4.34E+01,-3.34E+01,1.26E+00
Venus,4.87E+24,6.05E+03,-9.51E+07,5.26E+07,6.15E+06,-1.70E+01,-3.09E+01,5.57E-01
Earth,5.97E+24,6.37E+03,9.47E+07,1.14E+08,8.22E+03,-2.32E+01,1.91E+01,-1.07E-04
Mars,6.42E+23,3.39E+03,1.70E+08,1.34E+08,-1.38E+06,-1.40E+01,2.12E+01,7.87E-01
Jupiter,1.90E+27,7.15E+04,4.08E+08,-6.45E+08,-6.46E+06,1.09E+01,7.60E+00,-2.75E-01
Saturn,5.68E+26,5.82E+04,7.88E+08,-1.27E+09,-9.28E+06,7.67E+00,5.07E+00,-3.94E-01
Uranus,8.68E+25,2.54E+04,2.31E+09,1.84E+09,-2.31E+07,-4.29E+00,5.01E+00,7.42E-02
Neptune,1.02E+26,2.46E+04,4.40E+09,-8.05E+08,-8.49E+07,9.42E-01,5.38E+00,-1.32E-01
Apophis,2.70E+10,1.70E-01,5.74E+07,1.22E+08,-5.05E+06,-2.55E+01,1.89E+01,-1.61E+00
